,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600118.XSHG,600118,中国卫星,XSHG,2015-01-05,28.48,28.48,28.99,29.16,28.11,28.91,27085384,778082751,26081,0.0229,0.9783438444,34185759881,34185759881,0.0151,95.933,95.933,7.9461,1,28.727
1,600118.XSHG,600118,中国卫星,XSHG,2015-01-06,28.91,28.91,28.79,31.09,28.5,30.33,45449496,1360884169,40084,0.0384,0.9783438444,35864894403,35864894403,0.0491,100.645,100.645,8.3364,1,29.943
2,600118.XSHG,600118,中国卫星,XSHG,2015-01-07,30.33,30.33,29.9,30.21,29.08,29.45,24355297,718953856,25705,0.0206,0.9783438444,34824303995,34824303995,-0.029,97.7249,97.7249,8.0945,1,29.519
3,600118.XSHG,600118,中国卫星,XSHG,2015-01-08,29.45,29.45,29.2,29.74,28.83,28.91,21233184,621170556,22094,0.018,0.9783438444,34185759881,34185759881,-0.0183,95.933,95.933,7.9461,1,29.255
4,600118.XSHG,600118,中国卫星,XSHG,2015-01-09,28.91,28.91,28.6,29.17,27.95,28.04,22883013,655673916,24597,0.0194,0.9783438444,33156994364,33156994364,-0.0301,93.046,93.046,7.707,1,28.653
5,600118.XSHG,600118,中国卫星,XSHG,2015-01-12,28.04,28.04,27.7,27.7,26.06,26.54,33473012,894857280,32580,0.0283,0.9783438444,31383260714,31383260714,-0.0535,88.0685,88.0685,7.2947,1,26.734
6,600118.XSHG,600118,中国卫星,XSHG,2015-01-13,26.54,26.54,26.68,27.37,26.41,26.63,22664785,609800404,20749,0.0192,0.9783438444,31489684733,31489684733,0.0034,88.3672,88.3672,7.3194,1,26.905
7,600118.XSHG,600118,中国卫星,XSHG,2015-01-14,26.63,26.63,26.42,27.36,26.41,26.89,17547860,473157381,19165,0.0148,0.9783438444,31797131899,31797131899,0.0098,89.23,89.23,7.3909,1,26.964
8,600118.XSHG,600118,中国卫星,XSHG,2015-01-15,26.89,26.89,26.86,27.24,25.98,27.19,21613410,576036293,23822,0.0183,0.9783438444,32151878629,32151878629,0.0112,90.2255,90.2255,7.4733,1,26.652
9,600118.XSHG,600118,中国卫星,XSHG,2015-01-16,27.19,27.19,27.19,27.8,26.96,27.56,21028381,576548016,20313,0.0178,0.9783438444,32589399596,32589399596,0.0136,91.4532,91.4532,7.575,1,27.418
10,600118.XSHG,600118,中国卫星,XSHG,2015-01-19,27.56,27.56,26.78,28.23,26.03,26.75,27071404,736063936,25051,0.0229,0.9783438444,31631583425,31631583425,-0.0294,88.7654,88.7654,7.3524,1,27.19
11,600118.XSHG,600118,中国卫星,XSHG,2015-01-20,26.75,26.75,26.75,28.2,26.75,28.08,29022289,800008442,26432,0.0245,0.9783438444,33204293928,33204293928,0.0497,93.1788,93.1788,7.718,1,27.565
12,600118.XSHG,600118,中国卫星,XSHG,2015-01-21,28.08,28.08,28.09,29.7,27.93,29.34,40925055,1189362335,33196,0.0346,0.9783438444,34694230194,34694230194,0.0449,97.3599,97.3599,8.0643,1,29.062
13,600118.XSHG,600118,中国卫星,XSHG,2015-01-22,29.34,29.34,29.33,32.27,29.01,31.69,65910281,2039089378,49247,0.0557,0.9783438444,37473079579,37473079579,0.0801,105.158,105.158,8.7102,1,30.937
14,600118.XSHG,600118,中国卫星,XSHG,2015-01-23,31.69,31.69,31.45,31.45,30.28,30.4,43674727,1347495731,35104,0.0369,0.9783438444,35947668640,35947668640,-0.0407,100.8773,100.8773,8.3556,1,30.853
15,600118.XSHG,600118,中国卫星,XSHG,2015-01-26,30.4,30.4,31.1,32.4,31,31.58,37293593,1175063303,29681,0.0315,0.9783438444,37343005778,37343005778,0.0388,104.7929,104.7929,8.68,1,31.508
16,600118.XSHG,600118,中国卫星,XSHG,2015-01-27,31.58,31.58,31.9,32.21,30.9,31.64,32891481,1036922352,29871,0.0278,0.9783438444,37413955124,37413955124,0.0019,104.992,104.992,8.6965,1,31.526
17,600118.XSHG,600118,中国卫星,XSHG,2015-01-28,31.64,31.64,31.64,31.66,30.06,30.54,31267796,960158979,29044,0.0264,0.9783438444,36113217114,36113217114,-0.0348,101.3419,101.3419,8.3941,1,30.708
18,600118.XSHG,600118,中国卫星,XSHG,2015-01-29,30.54,30.54,30,30.53,29.7,29.72,16479425,494392745,17366,0.0139,0.9783438444,35143576052,35143576052,-0.0269,98.6208,98.6208,8.1687,1,30.001
