,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600519.XSHG,600519,贵州茅台,XSHG,2015-01-05,189.62,189.62,189.62,204.24,188.69,202.52,9451517,1875063136,27209,0.0083,0.8369304538,231277434960,231277434960,0.068,15.0671,15.0671,4.3286,1,198.388
1,600519.XSHG,600519,贵州茅台,XSHG,2015-01-06,202.52,202.52,200.0,202.56,196.02,197.83,5502001,1094977375,16677,0.0048,0.8369304538,225921464340,225921464340,-0.0232,14.7182,14.7182,4.2283,1,199.014
2,600519.XSHG,600519,贵州茅台,XSHG,2015-01-07,197.83,197.83,196.04,199.5,189.99,192.94,5479784,1063925641,17690,0.0048,0.8369304538,220337094120,220337094120,-0.0247,14.3544,14.3544,4.1238,1,194.155
3,600519.XSHG,600519,贵州茅台,XSHG,2015-01-08,192.94,192.94,194.0,194.52,190.14,191.76,4052530,777874670,14646,0.0035,0.8369304538,218989536480,218989536480,-0.0061,14.2666,14.2666,4.0986,1,191.948
4,600519.XSHG,600519,贵州茅台,XSHG,2015-01-09,191.76,191.76,190.4,195.77,190.11,190.31,5398220,1039955153,17621,0.0047,0.8369304538,217333639380,217333639380,-0.0076,14.1587,14.1587,4.0676,1,192.648
5,600519.XSHG,600519,贵州茅台,XSHG,2015-01-12,190.31,190.31,190.0,192.59,184.46,186.43,4991459,934643390,17287,0.0044,0.8369304538,212902687140,212902687140,-0.0204,13.8701,13.8701,3.9847,1,187.249
6,600519.XSHG,600519,贵州茅台,XSHG,2015-01-13,186.43,186.43,187.0,188.54,184.6,184.88,3670808,683429624,11983,0.0032,0.8369304538,211132590240,211132590240,-0.0083,13.7547,13.7547,3.9515,1,186.18
7,600519.XSHG,600519,贵州茅台,XSHG,2015-01-14,184.88,184.88,185.0,186.5,180.88,183.18,5240344,965036184,12921,0.0046,0.8369304538,209191193640,209191193640,-0.0092,13.6283,13.6283,3.9152,1,184.155
8,600519.XSHG,600519,贵州茅台,XSHG,2015-01-15,183.18,183.18,183.89,186.4,182.48,186.07,4858552,895503097,13429,0.0043,0.8369304538,212491567860,212491567860,0.0158,13.8433,13.8433,3.977,1,184.315
9,600519.XSHG,600519,贵州茅台,XSHG,2015-01-16,186.07,186.07,186.2,188.0,185.98,186.11,3997806,746304289,11550,0.0035,0.8369304538,212537247780,212537247780,0.0002,13.8463,13.8463,3.9778,1,186.678
10,600519.XSHG,600519,贵州茅台,XSHG,2015-01-19,186.11,186.11,181.0,183.2,171.47,175.48,6467937,1151544267,19606,0.0057,0.8369304538,200397809040,200397809040,-0.0571,13.0554,13.0554,3.7506,1,178.039
11,600519.XSHG,600519,贵州茅台,XSHG,2015-01-20,175.48,175.48,176.02,180.5,173.0,178.08,6102274,1086018454,17704,0.0053,0.8369304538,203367003840,203367003840,0.0148,13.2488,13.2488,3.8062,1,177.969
12,600519.XSHG,600519,贵州茅台,XSHG,2015-01-21,178.08,178.08,178.27,182.9,177.2,182.36,5267474,950750407,14893,0.0046,0.8369304538,208254755280,208254755280,0.024,13.5673,13.5673,3.8977,1,180.495
13,600519.XSHG,600519,贵州茅台,XSHG,2015-01-22,182.36,182.36,182.37,184.36,180.0,181.23,3825481,696541254,13005,0.0033,0.8369304538,206964297540,206964297540,-0.0062,13.4832,13.4832,3.8735,1,182.079
14,600519.XSHG,600519,贵州茅台,XSHG,2015-01-23,181.23,181.23,180.12,183.28,180.11,181.02,3308455,600627336,12108,0.0029,0.8369304538,206724477960,206724477960,-0.0012,13.4676,13.4676,3.869,1,181.543
15,600519.XSHG,600519,贵州茅台,XSHG,2015-01-26,181.02,181.02,181.7,183.5,181.05,182.8,3564906,650642102,10549,0.0031,0.8369304538,208757234400,208757234400,0.0098,13.6,13.6,3.9071,1,182.513
16,600519.XSHG,600519,贵州茅台,XSHG,2015-01-27,182.8,182.8,182.82,182.82,178.0,180.11,4188362,755025862,14909,0.0037,0.8369304538,205685259780,205685259780,-0.0147,13.3999,13.3999,3.8496,1,180.268
17,600519.XSHG,600519,贵州茅台,XSHG,2015-01-28,180.11,180.11,179.0,180.4,177.3,177.47,3068066,547979157,12735,0.0027,0.8369304538,202670385060,202670385060,-0.0147,13.2035,13.2035,3.7932,1,178.607
18,600519.XSHG,600519,贵州茅台,XSHG,2015-01-29,177.47,177.47,176.2,178.0,175.0,176.15,3249254,571553419,11448,0.0028,0.8369304538,201162947700,201162947700,-0.0074,13.1052,13.1052,3.765,1,175.903
19,600519.XSHG,600519,贵州茅台,XSHG,2015-01-30,176.15,176.15,176.99,181.0,176.5,177.18,4750834,848744494,15609,0.0042,0.8369304538,202339205640,202339205640,0.0058,13.1819,13.1819,3.787,1,178.652
20,600519.XSHG,600519,贵州茅台,XSHG,2015-02-02,177.18,177.18,175.51,176.4,173.5,174.82,3398336,593379653,11677,0.003,0.8369304538,199644090360,199644090360,-0.0133,13.0063,13.0063,3.7365,1,174.609
21,600519.XSHG,600519,贵州茅台,XSHG,2015-02-03,174.82,174.82,177.48,178.65,176.2,178.37,2779280,493512567,12010,0.0024,0.8369304538,203698183260,203698183260,0.0203,13.2704,13.2704,3.8124,1,177.568
22,600519.XSHG,600519,贵州茅台,XSHG,2015-02-04,178.37,178.37,179.15,182.08,177.0,177.25,3529371,634135328,13358,0.0031,0.8369304538,202419145500,202419145500,-0.0063,13.1871,13.1871,3.7885,1,179.674
23,600519.XSHG,600519,贵州茅台,XSHG,2015-02-05,177.25,177.25,178.97,180.9,174.0,174.05,4123962,735861121,15468,0.0036,0.8369304538,198764751900,198764751900,-0.0181,12.949,12.949,3.7201,1,178.435
24,600519.XSHG,600519,贵州茅台,XSHG,2015-02-06,174.05,174.05,174.64,176.5,173.6,174.6,3710238,648205629,14416,0.0032,0.8369304538,199392850800,199392850800,0.0032,12.9899,12.9899,3.7318,1,174.707
25,600519.XSHG,600519,贵州茅台,XSHG,2015-02-09,174.6,174.6,175.77,185.1,175.0,184.3,8729358,1584342294,23204,0.0076,0.8369304538,210470231400,210470231400,0.0556,13.7116,13.7116,3.9391,1,181.496
26,600519.XSHG,600519,贵州茅台,XSHG,2015-02-10,184.3,184.3,184.8,185.2,181.45,182.88,5363887,984795852,15466,0.0047,0.8369304538,208848594240,208848594240,-0.0077,13.6059,13.6059,3.9088,1,183.597
27,600519.XSHG,600519,贵州茅台,XSHG,2015-02-11,182.88,182.88,182.4,184.25,182.08,183.15,2289479,420358857,8685,0.002,0.8369304538,209156933700,209156933700,0.0015,13.626,13.626,3.9146,1,183.605
28,600519.XSHG,600519,贵州茅台,XSHG,2015-02-12,183.15,183.15,183.99,184.49,182.01,183.57,2505098,458818631,8299,0.0022,0.8369304538,209636572860,209636572860,0.0023,13.6573,13.6573,3.9235,1,183.154
29,600519.XSHG,600519,贵州茅台,XSHG,2015-02-13,183.57,183.57,184.11,184.5,181.4,182.49,4012705,734977407,12633,0.0035,0.8369304538,208403215020,208403215020,-0.0059,13.5769,13.5769,3.9005,1,183.163
30,600519.XSHG,600519,贵州茅台,XSHG,2015-02-16,182.49,182.49,182.54,183.63,181.22,183.31,3952108,722512103,16043,0.0035,0.8369304538,209339653380,209339653380,0.0045,13.6379,13.6379,3.918,1,182.817
31,600519.XSHG,600519,贵州茅台,XSHG,2015-02-17,183.31,183.31,183.55,183.89,181.91,182.22,3417255,624854087,10293,0.003,0.8369304538,208094875560,208094875560,-0.0059,13.5568,13.5568,3.8947,1,182.853
32,600519.XSHG,600519,贵州茅台,XSHG,2015-02-25,182.22,182.22,183.0,185.7,181.11,183.96,5993512,1104113268,18373,0.0052,0.8369304538,210081952080,210081952080,0.0095,13.6863,13.6863,3.9319,1,184.218
33,600519.XSHG,600519,贵州茅台,XSHG,2015-02-26,183.96,183.96,183.8,188.39,183.55,186.64,6229772,1163369598,17070,0.0055,0.8369304538,213142506720,213142506720,0.0146,13.8857,13.8857,3.9892,1,186.744
34,600519.XSHG,600519,贵州茅台,XSHG,2015-02-27,186.64,186.64,186.9,194.5,186.8,191.05,6337094,1217723178,17869,0.0055,0.8369304538,218178717900,218178717900,0.0236,14.2138,14.2138,4.0834,1,192.158
35,600519.XSHG,600519,贵州茅台,XSHG,2015-03-02,191.05,191.05,190.8,193.8,189.0,190.73,3109870,592027084,10845,0.0027,0.8369304538,217813278540,217813278540,-0.0017,14.19,14.19,4.0766,1,190.37
36,600519.XSHG,600519,贵州茅台,XSHG,2015-03-03,190.73,190.73,189.3,192.0,185.16,185.95,4299960,812905777,14384,0.0038,0.8369304538,212354528100,212354528100,-0.0251,13.8343,13.8343,3.9744,1,189.05
37,600519.XSHG,600519,贵州茅台,XSHG,2015-03-04,185.95,185.95,186.99,188.01,184.6,187.19,4066223,757815044,15143,0.0036,0.8369304538,213770605620,213770605620,0.0067,13.9266,13.9266,4.0009,1,186.368
38,600519.XSHG,600519,贵州茅台,XSHG,2015-03-05,187.19,187.19,185.01,187.03,184.05,185.52,3620624,670609773,10738,0.0032,0.8369304538,211863468960,211863468960,-0.0089,13.8024,13.8024,3.9652,1,185.219
39,600519.XSHG,600519,贵州茅台,XSHG,2015-03-06,185.52,185.52,185.35,186.48,183.27,183.62,2547066,471454744,7036,0.0022,0.8369304538,209693672760,209693672760,-0.0102,13.661,13.661,3.9246,1,185.097
40,600519.XSHG,600519,贵州茅台,XSHG,2015-03-09,183.62,183.62,185.8,192.99,183.8,191.56,4348603,815432195,15511,0.0038,0.8369304538,218761136880,218761136880,0.0432,14.2517,14.2517,4.0943,1,187.516
41,600519.XSHG,600519,贵州茅台,XSHG,2015-03-10,191.56,191.56,190.94,191.5,187.28,187.83,2963706,561292473,10897,0.0026,0.8369304538,214501484340,214501484340,-0.0195,13.9742,13.9742,4.0146,1,189.389
42,600519.XSHG,600519,贵州茅台,XSHG,2015-03-11,187.83,187.83,187.83,193.0,187.8,191.98,4058339,778418696,15387,0.0036,0.8369304538,219240776040,219240776040,0.0221,14.283,14.283,4.1033,1,191.807
