,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600195.XSHG,600195,中牧股份,XSHG,2015-01-05,15.85,15.85,15.8,16.27,15.65,16.2,6804849,109013053,5124,0.0158,0.3976028264,6962760000,6962760000,0.0221,23.9783,23.9783,2.4425,1,16.02
1,600195.XSHG,600195,中牧股份,XSHG,2015-01-06,16.2,16.2,16.03,16.59,15.99,16.49,9066928,148141133,5744,0.0211,0.3976028264,7087402000,7087402000,0.0179,24.4076,24.4076,2.4862,1,16.339
2,600195.XSHG,600195,中牧股份,XSHG,2015-01-07,16.49,16.49,16.55,16.9,16.28,16.42,7369077,122015838,5644,0.0171,0.3976028264,7057316000,7057316000,-0.0042,24.304,24.304,2.4756,1,16.558
3,600195.XSHG,600195,中牧股份,XSHG,2015-01-08,16.42,16.42,16.47,16.75,16.34,16.5,6916592,114450950,5251,0.0161,0.3976028264,7091700000,7091700000,0.0049,24.4224,24.4224,2.4877,1,16.547
4,600195.XSHG,600195,中牧股份,XSHG,2015-01-09,16.5,16.5,16.54,16.97,16.5,16.52,10553364,177147588,7238,0.0246,0.3976028264,7100296000,7100296000,0.0012,24.452,24.452,2.4907,1,16.786
5,600195.XSHG,600195,中牧股份,XSHG,2015-01-12,16.52,16.52,16.35,16.51,15.7,15.88,6698364,107304440,5017,0.0156,0.3976028264,6825224000,6825224000,-0.0387,23.5047,23.5047,2.3942,1,16.019
6,600195.XSHG,600195,中牧股份,XSHG,2015-01-13,15.88,15.88,15.87,16.16,15.71,16.06,7852666,124891856,4623,0.0183,0.3976028264,6902588000,6902588000,0.0113,23.7711,23.7711,2.4213,1,15.904
7,600195.XSHG,600195,中牧股份,XSHG,2015-01-14,16.06,16.06,16.0,16.53,15.91,16.5,9644263,157194506,6542,0.0224,0.3976028264,7091700000,7091700000,0.0274,24.4224,24.4224,2.4877,1,16.299
8,600195.XSHG,600195,中牧股份,XSHG,2015-01-15,16.5,16.5,16.49,16.9,16.33,16.79,9282487,154547877,6442,0.0216,0.3976028264,7216342000,7216342000,0.0176,24.8516,24.8516,2.5314,1,16.649
9,600195.XSHG,600195,中牧股份,XSHG,2015-01-16,16.79,16.79,16.7,16.88,16.51,16.78,6252781,104534649,4923,0.0145,0.3976028264,7212044000,7212044000,-0.0006,24.8368,24.8368,2.5299,1,16.718
10,600195.XSHG,600195,中牧股份,XSHG,2015-01-19,16.78,16.78,16.88,17.52,16.26,16.55,17960441,304440287,13121,0.0418,0.3976028264,7113190000,7113190000,-0.0137,24.4964,24.4964,2.4952,1,16.951
11,600195.XSHG,600195,中牧股份,XSHG,2015-01-20,16.55,16.55,16.63,17.33,16.63,17.32,13443271,228781179,10054,0.0313,0.3976028264,7444136000,7444136000,0.0465,25.6361,25.6361,2.6113,1,17.018
12,600195.XSHG,600195,中牧股份,XSHG,2015-01-21,17.32,17.32,17.32,17.57,17.2,17.45,12592714,218970942,8811,0.0293,0.3976028264,7500010000,7500010000,0.0075,25.8285,25.8285,2.6309,1,17.389
13,600195.XSHG,600195,中牧股份,XSHG,2015-01-22,17.45,17.45,17.5,17.55,17.2,17.5,11035513,192218660,7211,0.0257,0.3976028264,7521500000,7521500000,0.0029,25.9025,25.9025,2.6384,1,17.418
14,600195.XSHG,600195,中牧股份,XSHG,2015-01-23,17.5,17.5,17.56,17.58,17.05,17.21,9506972,164396376,6605,0.0221,0.3976028264,7396858000,7396858000,-0.0166,25.4733,25.4733,2.5947,1,17.292
15,600195.XSHG,600195,中牧股份,XSHG,2015-01-26,17.21,17.21,17.15,17.34,17.08,17.32,6722004,115692362,4453,0.0156,0.3976028264,7444136000,7444136000,0.0064,25.6361,25.6361,2.6113,1,17.211
16,600195.XSHG,600195,中牧股份,XSHG,2015-01-27,17.32,17.32,17.26,17.57,16.98,17.15,8103879,139633410,6114,0.0189,0.3976028264,7371070000,7371070000,-0.0098,25.3845,25.3845,2.5857,1,17.23
17,600195.XSHG,600195,中牧股份,XSHG,2015-01-28,17.15,17.15,17.0,17.17,16.82,16.99,9010402,153088311,5599,0.021,0.3976028264,7302302000,7302302000,-0.0093,25.1476,25.1476,2.5616,1,16.99
18,600195.XSHG,600195,中牧股份,XSHG,2015-01-29,16.99,16.99,16.79,17.0,16.7,16.85,4873722,82239278,3170,0.0113,0.3976028264,7242130000,7242130000,-0.0082,24.9404,24.9404,2.5404,1,16.874
19,600195.XSHG,600195,中牧股份,XSHG,2015-01-30,16.85,16.85,16.86,17.04,16.78,16.93,5142950,87083368,3275,0.012,0.3976028264,7276514000,7276514000,0.0047,25.0588,25.0588,2.5525,1,16.933
20,600195.XSHG,600195,中牧股份,XSHG,2015-02-02,16.93,16.93,16.98,17.36,16.85,17.2,9623383,165281910,6374,0.0224,0.3976028264,7392560000,7392560000,0.0159,25.4585,25.4585,2.5932,1,17.175
21,600195.XSHG,600195,中牧股份,XSHG,2015-02-03,17.2,17.2,17.21,17.3,16.92,17.18,6782010,115974195,4795,0.0158,0.3976028264,7383964000,7383964000,-0.0012,25.4289,25.4289,2.5902,1,17.1
22,600195.XSHG,600195,中牧股份,XSHG,2015-02-04,17.18,17.18,17.15,17.3,16.86,16.87,6063322,103850132,4020,0.0141,0.3976028264,7250726000,7250726000,-0.018,24.97,24.97,2.5435,1,17.128
23,600195.XSHG,600195,中牧股份,XSHG,2015-02-05,16.87,16.87,17.05,17.13,16.61,16.68,6252354,105800129,4290,0.0145,0.3976028264,7169064000,7169064000,-0.0113,24.6888,24.6888,2.5148,1,16.922
24,600195.XSHG,600195,中牧股份,XSHG,2015-02-06,16.68,16.68,16.58,16.69,16.23,16.25,4781147,78707060,3794,0.0111,0.3976028264,6984250000,6984250000,-0.0258,24.0523,24.0523,2.45,1,16.462
25,600195.XSHG,600195,中牧股份,XSHG,2015-02-09,16.25,16.25,16.21,16.3,16.03,16.21,3243757,52390332,2253,0.0075,0.3976028264,6967058000,6967058000,-0.0025,23.9931,23.9931,2.444,1,16.151
26,600195.XSHG,600195,中牧股份,XSHG,2015-02-10,16.21,16.21,16.29,16.31,16.11,16.29,3681333,59621270,2585,0.0086,0.3976028264,7001442000,7001442000,0.0049,24.1115,24.1115,2.456,1,16.196
27,600195.XSHG,600195,中牧股份,XSHG,2015-02-11,16.29,16.29,16.35,16.49,16.31,16.42,2879796,47251290,2169,0.0067,0.3976028264,7057316000,7057316000,0.008,24.304,24.304,2.4756,1,16.408
28,600195.XSHG,600195,中牧股份,XSHG,2015-02-12,16.42,16.42,16.47,16.83,16.4,16.74,3593669,59928010,2740,0.0084,0.3976028264,7194852000,7194852000,0.0195,24.7776,24.7776,2.5239,1,16.676
29,600195.XSHG,600195,中牧股份,XSHG,2015-02-13,16.74,16.74,16.85,17.05,16.74,17.02,6467346,109620109,4049,0.015,0.3976028264,7315196000,7315196000,0.0167,25.192,25.192,2.5661,1,16.95
30,600195.XSHG,600195,中牧股份,XSHG,2015-02-16,17.02,17.02,17.07,17.33,16.94,17.24,5888504,100885912,4968,0.0137,0.3976028264,7409752000,7409752000,0.0129,25.5177,25.5177,2.5992,1,17.133
31,600195.XSHG,600195,中牧股份,XSHG,2015-02-17,17.24,17.24,17.19,17.31,17.09,17.25,4401501,75835604,4626,0.0102,0.3976028264,7414050000,7414050000,0.0006,25.5325,25.5325,2.6008,1,17.229
32,600195.XSHG,600195,中牧股份,XSHG,2015-02-25,17.25,17.25,17.25,17.52,17.04,17.42,6966477,120642463,6389,0.0162,0.3976028264,7487116000,7487116000,0.0099,25.7841,25.7841,2.6264,1,17.318
33,600195.XSHG,600195,中牧股份,XSHG,2015-02-26,17.42,17.42,17.41,17.6,17.27,17.54,6827856,119169459,6169,0.0159,0.3976028264,7538692000,7538692000,0.0069,25.9617,25.9617,2.6445,1,17.453
34,600195.XSHG,600195,中牧股份,XSHG,2015-02-27,17.54,17.54,17.54,17.77,17.37,17.4,6566615,115521813,4903,0.0153,0.3976028264,7478520000,7478520000,-0.008,25.7545,25.7545,2.6234,1,17.592
35,600195.XSHG,600195,中牧股份,XSHG,2015-03-02,17.4,17.4,17.48,17.53,17.21,17.42,7360442,127862775,5086,0.0171,0.3976028264,7487116000,7487116000,0.0011,25.7841,25.7841,2.6264,1,17.372
36,600195.XSHG,600195,中牧股份,XSHG,2015-03-03,17.42,17.42,17.35,18.35,17.21,18.1,13676597,245056848,9352,0.0318,0.3976028264,7779380000,7779380000,0.039,26.7906,26.7906,2.7289,1,17.918
37,600195.XSHG,600195,中牧股份,XSHG,2015-03-04,18.1,18.1,18.0,18.41,17.93,18.29,10728830,195436526,5848,0.025,0.3976028264,7861042000,7861042000,0.0105,27.0718,27.0718,2.7576,1,18.216
38,600195.XSHG,600195,中牧股份,XSHG,2015-03-05,18.29,18.29,18.29,18.39,17.92,18.07,7029144,127525778,4740,0.0164,0.3976028264,7766486000,7766486000,-0.012,26.7462,26.7462,2.7244,1,18.142
39,600195.XSHG,600195,中牧股份,XSHG,2015-03-06,18.07,18.07,18.08,18.13,17.64,17.74,5775440,102723832,4271,0.0134,0.3976028264,7624652000,7624652000,-0.0183,26.2577,26.2577,2.6746,1,17.786
40,600195.XSHG,600195,中牧股份,XSHG,2015-03-09,17.74,17.74,17.5,18.0,17.42,17.93,3600963,64053783,3050,0.0084,0.3976028264,7706314000,7706314000,0.0107,26.539,26.539,2.7033,1,17.788
41,600195.XSHG,600195,中牧股份,XSHG,2015-03-10,17.93,17.93,17.93,18.13,17.8,18.09,4570602,82222138,2941,0.0106,0.3976028264,7775082000,7775082000,0.0089,26.7758,26.7758,2.7274,1,17.989
