,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600448.XSHG,600448,华纺股份,XSHG,2015-01-05,6.72,6.72,6.61,6.85,6.49,6.74,15000643,99927513,6181,0.0469,0.8333333135,2155452000,2846734034,0.003,117.072,117.072,3.4466,1,6.662
1,600448.XSHG,600448,华纺股份,XSHG,2015-01-06,6.74,6.74,6.6,6.85,6.58,6.76,10537971,71180588,3920,0.033,0.8333333135,2161848000,2855181316,0.003,117.4194,117.4194,3.4569,1,6.755
2,600448.XSHG,600448,华纺股份,XSHG,2015-01-07,6.76,6.76,6.72,6.89,6.66,6.88,9747240,66142139,3771,0.0305,0.8333333135,2200224000,2905865008,0.0178,119.5037,119.5037,3.5182,1,6.786
3,600448.XSHG,600448,华纺股份,XSHG,2015-01-08,6.88,6.88,6.93,6.93,6.66,6.66,8843413,59873134,3041,0.0277,0.8333333135,2129868000,2812944906,-0.032,115.6824,115.6824,3.4057,1,6.77
4,600448.XSHG,600448,华纺股份,XSHG,2015-01-09,6.66,6.66,6.55,6.73,6.53,6.55,5500698,36526386,2137,0.0172,0.8333333135,2094690000,2766484855,-0.0165,113.7717,113.7717,3.3495,1,6.64
5,600448.XSHG,600448,华纺股份,XSHG,2015-01-12,6.55,6.55,6.5,6.52,6.27,6.28,5428676,34663056,2497,0.017,0.8333333135,2008344000,2652446548,-0.0412,109.0819,109.0819,3.2114,1,6.385
6,600448.XSHG,600448,华纺股份,XSHG,2015-01-13,6.28,6.28,6.26,6.39,6.25,6.38,3006890,19003500,1320,0.0094,0.8333333135,2040324000,2694682958,0.0159,110.8189,110.8189,3.2625,1,6.32
7,600448.XSHG,600448,华纺股份,XSHG,2015-01-14,6.38,6.38,6.37,6.37,6.25,6.3,3124980,19738167,1212,0.0098,0.8333333135,2014740000,2660893830,-0.0125,109.4293,109.4293,3.2216,1,6.316
8,600448.XSHG,600448,华纺股份,XSHG,2015-01-15,6.3,6.3,6.27,6.56,6.27,6.49,5147933,33329245,1928,0.0161,0.8333333135,2075502000,2741143009,0.0302,112.7295,112.7295,3.3188,1,6.474
9,600448.XSHG,600448,华纺股份,XSHG,2015-01-16,6.49,6.49,6.52,6.61,6.46,6.59,4695735,30729291,1707,0.0147,0.8333333135,2107482000,2783379419,0.0154,114.4665,114.4665,3.3699,1,6.544
10,600448.XSHG,600448,华纺股份,XSHG,2015-01-19,6.59,6.59,6.56,6.87,6.26,6.36,10253507,67847357,3821,0.0321,0.8333333135,2033928000,2686235676,-0.0349,110.4715,110.4715,3.2523,1,6.617
11,600448.XSHG,600448,华纺股份,XSHG,2015-01-20,6.36,6.36,6.49,6.62,6.36,6.57,7687421,50094291,2508,0.024,0.8333333135,2101086000,2774932137,0.033,114.1191,114.1191,3.3597,1,6.516
