,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600552.XSHG,600552,方兴科技,XSHG,2015-01-05,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
1,600552.XSHG,600552,方兴科技,XSHG,2015-01-06,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
2,600552.XSHG,600552,方兴科技,XSHG,2015-01-07,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
3,600552.XSHG,600552,方兴科技,XSHG,2015-01-08,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
4,600552.XSHG,600552,方兴科技,XSHG,2015-01-09,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
5,600552.XSHG,600552,方兴科技,XSHG,2015-01-12,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
6,600552.XSHG,600552,方兴科技,XSHG,2015-01-13,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
7,600552.XSHG,600552,方兴科技,XSHG,2015-01-14,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
8,600552.XSHG,600552,方兴科技,XSHG,2015-01-15,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
9,600552.XSHG,600552,方兴科技,XSHG,2015-01-16,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
10,600552.XSHG,600552,方兴科技,XSHG,2015-01-19,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
11,600552.XSHG,600552,方兴科技,XSHG,2015-01-20,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
12,600552.XSHG,600552,方兴科技,XSHG,2015-01-21,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
13,600552.XSHG,600552,方兴科技,XSHG,2015-01-22,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
14,600552.XSHG,600552,方兴科技,XSHG,2015-01-23,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
15,600552.XSHG,600552,方兴科技,XSHG,2015-01-26,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
16,600552.XSHG,600552,方兴科技,XSHG,2015-01-27,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
17,600552.XSHG,600552,方兴科技,XSHG,2015-01-28,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
18,600552.XSHG,600552,方兴科技,XSHG,2015-01-29,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
19,600552.XSHG,600552,方兴科技,XSHG,2015-01-30,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
20,600552.XSHG,600552,方兴科技,XSHG,2015-02-02,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
21,600552.XSHG,600552,方兴科技,XSHG,2015-02-03,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
22,600552.XSHG,600552,方兴科技,XSHG,2015-02-04,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
23,600552.XSHG,600552,方兴科技,XSHG,2015-02-05,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
24,600552.XSHG,600552,方兴科技,XSHG,2015-02-06,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
25,600552.XSHG,600552,方兴科技,XSHG,2015-02-09,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
26,600552.XSHG,600552,方兴科技,XSHG,2015-02-10,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
27,600552.XSHG,600552,方兴科技,XSHG,2015-02-11,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
28,600552.XSHG,600552,方兴科技,XSHG,2015-02-12,19.01,19.01,0.0,0.0,0.0,19.01,0,0,0,0.0,0.4898451269,6505970994,6824489247,0.0,62.258,62.258,3.9913,0,0.0
