,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600000.XSHG,600000,浦发银行,XSHG,2015-01-05,15.69,15.69,15.88,16.25,15.56,16.07,513568709,8182820911,126351,0.0344,0.6151186824,239809027997,299761285398,0.0242,6.3744,6.3744,1.1522,1,15.933
1,600000.XSHG,600000,浦发银行,XSHG,2015-01-06,16.07,16.07,16.0,16.68,15.82,16.13,511684535,8311084820,144444,0.0343,0.6151186824,240704394623,300880493682,0.0037,6.3982,6.3982,1.1565,1,16.243
2,600000.XSHG,600000,浦发银行,XSHG,2015-01-07,16.13,16.13,15.9,16.17,15.53,15.81,385716820,6114241100,130363,0.0258,0.6151186824,235929105951,294911382834,-0.0198,6.2712,6.2712,1.1335,1,15.852
3,600000.XSHG,600000,浦发银行,XSHG,2015-01-08,15.81,15.81,15.87,15.88,15.2,15.25,330627172,5101310595,111539,0.0222,0.6151186824,227572350775,284465438850,-0.0354,6.0491,6.0491,1.0934,1,15.429
4,600000.XSHG,600000,浦发银行,XSHG,2015-01-09,15.25,15.25,15.2,16.25,15.11,15.43,491999937,7692348549,147858,0.033,0.6151186824,230258450653,287823063702,0.0118,6.1205,6.1205,1.1063,1,15.635
5,600000.XSHG,600000,浦发银行,XSHG,2015-01-12,15.43,15.43,15.5,15.71,14.95,15.22,367787264,5625727000,110368,0.0246,0.6151186824,227124667462,283905834708,-0.0136,6.0372,6.0372,1.0912,1,15.296
6,600000.XSHG,600000,浦发银行,XSHG,2015-01-13,15.22,15.22,15.13,15.41,15.1,15.18,178404956,2712026682,53872,0.012,0.6151186824,226527756378,283159695852,-0.0026,6.0213,6.0213,1.0884,1,15.202
7,600000.XSHG,600000,浦发银行,XSHG,2015-01-14,15.18,15.18,15.31,15.79,15.31,15.49,309018855,4812472304,93904,0.0207,0.6151186824,231153817279,288942271986,0.0204,6.1443,6.1443,1.1106,1,15.573
8,600000.XSHG,600000,浦发银行,XSHG,2015-01-15,15.49,15.49,15.49,16.15,15.39,16.12,329826849,5216166778,103180,0.0221,0.6151186824,240555166852,300693958968,0.0407,6.3942,6.3942,1.1558,1,15.815
9,600000.XSHG,600000,浦发银行,XSHG,2015-01-16,16.12,16.12,16.24,16.75,16.16,16.47,480245887,7938757902,128104,0.0322,0.6151186824,245778138837,307222673958,0.0217,6.533,6.533,1.1809,1,16.531
10,600000.XSHG,600000,浦发银行,XSHG,2015-01-19,16.47,16.47,15.38,15.73,14.82,14.82,623520880,9496942743,168902,0.0418,0.6151186824,221155556622,276444446148,-0.1002,5.8785,5.8785,1.0626,1,15.231
