,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,603718.XSHG,603718,海利生物,XSHG,2015-05-15,6.81,6.81,9.81,9.81,9.81,9.81,32001,313930,36,0.0005,0.4303739071,686700000,2746800000,0.4405,27.8615,23.672,6.2469,1,9.81
1,603718.XSHG,603718,海利生物,XSHG,2015-05-18,9.81,9.81,10.79,10.79,10.79,10.79,9600,103584,12,0.0001,0.4303739071,755300000,3021200000,0.0999,30.6448,26.0367,6.871,1,10.79
2,603718.XSHG,603718,海利生物,XSHG,2015-05-19,10.79,10.79,11.87,11.87,11.87,11.87,8500,100895,9,0.0001,0.4303739071,830900000,3323600000,0.1001,33.7121,28.6428,7.5587,1,11.87
3,603718.XSHG,603718,海利生物,XSHG,2015-05-20,11.87,11.87,13.06,13.06,13.06,13.06,6900,90114,10,0.0001,0.4303739071,914200000,3656800000,0.1003,37.0918,31.5143,8.3165,1,13.06
4,603718.XSHG,603718,海利生物,XSHG,2015-05-21,13.06,13.06,14.37,14.37,14.37,14.37,10000,143700,13,0.0001,0.4303739071,1005900000,4023600000,0.1003,40.8124,34.6754,9.1507,1,14.37
5,603718.XSHG,603718,海利生物,XSHG,2015-05-22,14.37,14.37,15.81,15.81,15.81,15.81,7700,121737,9,0.0001,0.4303739071,1106700000,4426800000,0.1002,44.9021,38.1502,10.0676,1,15.81
6,603718.XSHG,603718,海利生物,XSHG,2015-05-25,15.81,15.81,17.39,17.39,17.39,17.39,7500,130425,11,0.0001,0.4303739071,1217300000,4869200000,0.0999,49.3895,41.9628,11.0738,1,17.39
7,603718.XSHG,603718,海利生物,XSHG,2015-05-26,17.39,17.39,19.13,19.13,19.13,19.13,8300,158779,11,0.0001,0.4303739071,1339100000,5356400000,0.1001,54.3313,46.1615,12.1818,1,19.13
8,603718.XSHG,603718,海利生物,XSHG,2015-05-27,19.13,19.13,21.04,21.04,21.04,21.04,19100,401864,27,0.0003,0.4303739071,1472800000,5891200000,0.0998,59.7559,50.7704,13.398,1,21.04
9,603718.XSHG,603718,海利生物,XSHG,2015-05-28,21.04,21.04,23.14,23.14,23.14,23.14,45500,1052870,66,0.0007,0.4303739071,1619800000,6479200000,0.0998,65.7202,55.8378,14.7353,1,23.14
10,603718.XSHG,603718,海利生物,XSHG,2015-05-29,23.14,23.14,25.45,25.45,25.45,25.45,120900,3076905,162,0.0017,0.4303739071,1781500000,7126000000,0.0998,72.2808,61.412,16.2063,1,25.45
11,603718.XSHG,603718,海利生物,XSHG,2015-06-01,25.45,25.45,28.0,28.0,28.0,28.0,25400,711200,39,0.0004,0.4303739071,1960000000,7840000000,0.1002,79.5231,67.5652,17.8301,1,28.0
12,603718.XSHG,603718,海利生物,XSHG,2015-06-02,28.0,28.0,30.8,30.8,30.8,30.8,42200,1299760,80,0.0006,0.4303739071,2156000000,8624000000,0.1,87.4754,74.3217,19.6131,1,30.8
13,603718.XSHG,603718,海利生物,XSHG,2015-06-03,30.8,30.8,33.88,33.88,33.88,33.88,110700,3750516,185,0.0016,0.4303739071,2371600000,9486400000,0.1,96.2229,81.7539,21.5744,1,33.88
14,603718.XSHG,603718,海利生物,XSHG,2015-06-04,33.88,33.88,37.27,37.27,37.27,37.27,242500,9037975,377,0.0035,0.4303739071,2608900000,10435600000,0.1001,105.8509,89.9341,23.7331,1,37.27
15,603718.XSHG,603718,海利生物,XSHG,2015-06-05,37.27,37.27,41.0,41.0,41.0,41.0,126700,5194700,207,0.0018,0.4303739071,2870000000,11480000000,0.1001,116.4445,98.9348,26.1084,1,41.0
16,603718.XSHG,603718,海利生物,XSHG,2015-06-08,41.0,41.0,45.1,45.1,45.1,45.1,237300,10702230,413,0.0034,0.4303739071,3157000000,12628000000,0.1,128.089,108.8283,28.7192,1,45.1
17,603718.XSHG,603718,海利生物,XSHG,2015-06-09,45.1,45.1,49.61,49.61,41.51,49.61,42348532,1978529446,82254,0.605,0.4303739071,3472700000,13890800000,0.1,140.8979,119.7111,31.5911,1,46.72
18,603718.XSHG,603718,海利生物,XSHG,2015-06-10,49.61,49.61,46.85,54.57,46.0,54.57,15147922,778390593,24555,0.2164,0.4303739071,3819900000,15279600000,0.1,154.9848,131.6798,34.7496,1,51.386
19,603718.XSHG,603718,海利生物,XSHG,2015-06-11,54.57,54.57,59.58,60.03,57.56,60.03,7159103,425394802,9930,0.1023,0.4303739071,4202100000,16808400000,0.1001,170.4918,144.855,38.2265,1,59.42
20,603718.XSHG,603718,海利生物,XSHG,2015-06-12,60.03,60.03,66.03,66.03,59.2,61.15,36780571,2365137784,75226,0.5254,0.4303739071,4280500000,17122000000,0.0187,173.6728,147.5576,38.9397,1,64.304
21,603718.XSHG,603718,海利生物,XSHG,2015-06-15,61.15,61.15,55.04,55.04,55.04,55.04,3882700,213703808,6371,0.0555,0.4303739071,3852800000,15411200000,-0.0999,156.3197,132.8139,35.0489,1,55.04
22,603718.XSHG,603718,海利生物,XSHG,2015-06-16,55.04,55.04,49.54,54.98,49.54,50.77,27309439,1388746888,52273,0.3901,0.4303739071,3553900000,14215600000,-0.0776,144.1924,122.5102,32.3298,1,50.852
23,603718.XSHG,603718,海利生物,XSHG,2015-06-17,50.77,50.77,51.78,51.78,45.99,48.1,14448407,695016669,26407,0.2064,0.4303739071,3367000000,13468000000,-0.0526,136.6093,116.0674,30.6296,1,48.103
24,603718.XSHG,603718,海利生物,XSHG,2015-06-18,48.1,48.1,50.45,52.9,49.55,50.72,17738633,914950977,26325,0.2534,0.4303739071,3550400000,14201600000,0.0545,144.0504,122.3896,32.2979,1,51.58
25,603718.XSHG,603718,海利生物,XSHG,2015-06-19,50.72,50.72,46.0,50.8,45.65,45.65,9724470,461223501,12848,0.1389,0.4303739071,3195500000,12782000000,-0.1,129.651,110.1554,29.0694,1,47.429
26,603718.XSHG,603718,海利生物,XSHG,2015-06-23,45.65,45.65,44.65,50.22,43.0,50.22,14353228,686633003,21261,0.205,0.4303739071,3515400000,14061600000,0.1001,142.6303,121.1831,31.9796,1,47.838
27,603718.XSHG,603718,海利生物,XSHG,2015-06-24,50.22,50.22,50.0,53.0,48.0,49.71,10063251,509171442,16666,0.1438,0.4303739071,3479700000,13918800000,-0.0102,141.1819,119.9524,31.6548,1,50.597
28,603718.XSHG,603718,海利生物,XSHG,2015-06-25,49.71,49.71,50.0,52.0,45.2,47.04,8403181,414571461,17062,0.12,0.4303739071,3292800000,13171200000,-0.0537,133.5988,113.5096,29.9546,1,49.335
29,603718.XSHG,603718,海利生物,XSHG,2015-06-26,47.04,47.04,44.02,45.08,42.34,42.34,4944309,213477756,9242,0.0706,0.4303739071,2963800000,11855200000,-0.0999,120.2503,102.1683,26.9617,1,43.176
30,603718.XSHG,603718,海利生物,XSHG,2015-06-29,42.34,42.34,43.0,43.1,38.11,38.11,6210392,240952572,8522,0.0887,0.4303739071,2667700000,10670800000,-0.0999,108.2366,91.9611,24.268,1,38.798
31,603718.XSHG,603718,海利生物,XSHG,2015-06-30,38.11,38.11,35.0,40.6,34.3,38.64,8125132,301833298,11447,0.1161,0.4303739071,2704800000,10819200000,0.0139,107.0589,102.6178,12.2756,1,37.148
32,603718.XSHG,603718,海利生物,XSHG,2015-07-01,38.64,38.64,37.5,41.0,34.8,34.89,7181903,278029215,12372,0.1026,0.4303739071,2442300000,9769200000,-0.097,96.6689,92.6587,11.0843,1,38.712
